Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 20/12/2021 11:10:55 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	27,284	37
2	24,436	39
3	22,555	22
4	24,895	19
5	22,947	26
6	24,524	21
7	21,823	16
8	21,23	11
9	24.129  9
10  22.329  14
11  23.123  16
12  23.532	18
13  23.986	20
14  24.2    24
15  23.1	16
