Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 8:06:51 μ.μ.

Bound Agent Timers: 

level	Timer	Metric
1	21,926	37
2	21,982	31
3	21,302	14
4	20,908	9
5	21,034	6
6	21	7
7	20,939	6
8	20,814	6
9	20,918	5
10	20,841	6
11	20,841	4
12	21,014	5
13	20,857	6
14	20,909	5
15	20,799	6
16	20,96	6
17	20,919	6
18	20,822	6
19	20,824	5
20	20,993	5

20,448	21,182

23,452	28,161

