Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 12/11/2021 5:41:23 μ.μ.

Bound Agent Timers: 

level	Timer	Metric
1	23,072	35
2	22,758	32
3	22,052	15
4	21,334	11
5	21,8	7
6	21,166	10
7	23,065	5
8	23,278	12
9	24,877	11
10	22,42	13
11	22,571	13
12	20,576	14
13	19,597	4
14	20,016	3
15	21,145	4
16	20,954	7
17	20,794	6
18	20,574	5
19	20,046	4
20	22,202	4

20,478	20,694

23,295	32,295

