Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 20/12/2021 11:45:05 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	26,208	31
2	25,267	31
3	22,739	27
4	24,8	19
5	25,676	27
6	23,304	27
7	23,992	17
8	26,73	18
9	23,42	37
10	23,716	18
11	23,724	18
12	24,631	18
13	24,485	26
14	23,245	18
15	23,409	15
16	22,317	19
17	22,068	18
18	21,563	17
19	20,713	14
20	19,835	6

20,423	22,022

23,366	28,906

