Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:08:57 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	24,05	33
2	24,613	30
3	23,832	29
4	22,36	20
5	22,759	17
6	22,139	17
7	22,683	15
8	22,507	18
9	22,062	18
10	22,404	13
11	21,6	14
12	21,362	11
13	21,879	7
14	21,779	9
15	22,438	14
16	22,762	11
17	21,475	9
18	22,731	9
19	22,042	9
20	22,185	9

20,502	21,691

23,208	28,197

