Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 11:39:27 μ.μ.

Bound Agent Timers: 

level	Timer	Metric
1	22,847	35
2	22,74	32
3	21,826	13
4	21,506	10
5	21,248	8
6	21,234	7
7	21,249	7
8	21	6
9	21,168	6
10	21,279	6
11	21,17	7
12	21,199	6
13	21,175	7
14	21,245	6
15	21,34	7
16	21,697	7
17	21,417	9
18	21,12	8
19	21,386	6
20	21,568	9

20,357	21,054

23,277	31,285

