Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 11:39:27 μ.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,737	5,946	5,502	0
5,690081	6,026	5,507	1
5,6082	5,89	5,419	2
5,606081	5,841	5,403	3
5,596759	5,803	5,418	4
5,60924	5,76	5,437	5
5,60968	5,864	5,429	6
5,56632	5,761	5,397	7
5,58276	5,775	5,398	8
5,59024	5,838	5,43	9
5,5808	5,782	5,403	10
5,56636	5,749	5,446	11
5,55636	5,726	5,466	12
5,569119	5,749	5,404	13
5,56012	5,786	5,383	14
5,57908	5,805	5,448	15
5,57304	5,742	5,455	16
5,552759	5,752	5,381	17
5,56032	5,735	5,275	18
5,54444	5,785	5,312	19
