Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:56:18 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,703481	5,904	5,54	0
5,67056	5,897	5,441	1
5,6258	5,937	5,368	1
5,58196	6,058	5,345	2
5,6052	5,933	5,361	3
5,540441	5,936	5,356	3
5,54364	5,831	5,315	4
5,526	5,88	5,316	5
5,56796	5,989	5,279	6
5,5142	5,888	5,256	7
5,50168	5,813	5,214	8
5,46996	5,775	5,219	9
5,413879	5,883	5,198	10
5,370279	5,827	5,183	11
5,346041	5,731	5,198	12
5,36468	5,614	5,194	12
5,34972	5,578	5,246	13
5,33332	5,595	5,254	14
5,358719	5,706	5,222	15
