Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:56:18 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	25,775	33
2	23,657	34
3	24,596	24
4	25,262	21
5	24,429	20
6	26,82	23
7	22,141	9
8	22,553	9
9	21,892	13
10	22,394	9
11	23,735	9
12	22,308	9
13	25,568	9
14	24,494	13
15	25,782	15
16	24,563	15
17	25,811	16
18	24,553	14
19	21,896	11
20	23,394	10

