Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:39:42 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,671162	5,863	5,424	0
5,641359	5,93	5,335	1
5,59464	5,853	5,372	2
5,589761	6,046	5,323	3
5,608961	6,07	5,376	4
5,5522	5,885	5,395	5
5,58332	5,935	5,38	5
5,57028	5,914	5,327	6
5,53136	5,94	5,269	8
5,51964	6,029	5,33	9
5,58364	6,086	5,324	10
5,59832	6,079	5,159	11
5,57796	6,058	5,236	12
5,61164	6,019	5,158	13
5,561281	5,977	5,141	14
5,606799	6,073	5,188	15
5,60972	6,183	5,2	16
5,63188	6,009	5,21	17
5,617041	6,097	5,213	18
5,65696	6,099	5,243	19
