Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:00:12 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	23,629	39
2	23,223	33
3	22,147	18
4	21,79	13
5	21,961	11
6	21,959	12
7	22,192	12
8	21,654	14
9	21,861	11
10	21,514	12
11	21,266	9
12	20,782	8
13	21,143	4
14	21,698	8
15	22,237	13
16	22,031	13
17	21,214	12
18	21,719	7
19	21,086	10
20	20,857	7

20,405	21,537

23,401	29,503

