Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 8:14:28 μ.μ.

Bound Agent Timers: 

level	Timer	Metric
1	22,034	32
2	22,674	39
3	21,643	18
4	21,076	10
5	21,091	6
6	21,289	7
7	21,31	9
8	21,084	7
9	21,078	7
10	21,44	7
11	21,243	10
12	21,248	8
13	21,157	8
14	20,989	8
15	21,17	7
16	21,209	8
17	21,267	8
18	21	8
19	20,99	7
20	20,784	6

20,454	21,111

23,364	28,108

