Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 20/12/2021 11:54:00 π.μ.

Bound Agent Timers: 

level	Timer	Metric
1	24,418	37
2	23,543	33
3	24,349	20
4	25,572	19
5	24,01	21
6	21,305	18
7	22,406	10
8	23,276	17
9	20,97	15
10	22,259	10
11	20,895	14
12	23,021	7
13	24,79	15
14	20,617	12
15	23,12	5
16	23,915	12
17	24,463	12
18	21,551	16
19	21,178	13
20	20,916	9

20,462	21,299

23,402	29,12

