Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 20/12/2021 11:54:00 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,67504	5,88	5,452	0
5,617681	5,776	5,421	1
5,635921	5,888	5,443	1
5,568361	5,778	5,366	2
5,585519	5,885	5,365	3
5,60248	5,828	5,466	3
5,58696	5,883	5,459	4
5,55008	5,92	5,339	4
5,58136	5,9	5,364	5
5,550679	5,849	5,409	6
5,5534	5,883	5,305	7
5,512879	5,839	5,4	7
5,500479	5,721	5,31	8
5,47468	5,674	5,341	9
5,48876	5,755	5,239	9
5,49992	5,684	5,32	10
5,495001	5,817	5,256	11
5,4582	5,621	5,266	12
5,45416	5,671	5,307	12
5,49636	5,692	5,35	13
5,48476	5,683	5,285	14
5,447001	5,6	5,241	15
5,471121	5,737	5,278	15
5,48908	5,707	5,361	16
5,490439	5,739	5,336	17
5,457759	5,661	5,281	17
5,4538	5,719	5,32	18
5,48224	5,719	5,297	19
